"순번","자치구","거리","소요시간","추천수","연계지하철역","연계코스","연계공원","교통편","상세코스","설명","코스명","코스대분류","강남강북구분","코스레벨"
"34","종로구","4.31km","3시간","0","3호선","","","진입로 1 : 부암동주민센터 버스 정류장(01-139) 지선버스 1020,7022,7212 <br /> - 경복궁역 지하철 3호선 3번 출구에서 약 150m이동 경복궁역 버스정류장(01-116)에서 탑승가능 <br />  ※교통편의 변경이 있을 수 있으니 출발전 확인 바랍니다.  "," 부암동 주민센터~기차바위~만수천약수터~해맞이동산~청운공원"," 창의문에서 시작하여 산행 후 창의문으로 되돌아오는 산행의 강, 약이 혼재하는 원점회귀 코스다. 좁은 골목길로 안평대군 별장, 현진건 집터를 살펴본 후 인왕산 서북능선을 향해 걷다보면 기차바위 정상에 이른다. 기차바위에서는 폭1.5m 길이50m의 구간을 마치 기차 등을 탄 것 같은 기분으로 통과하게 된다. 복원된 성곽길로 만수천 약수터와 새로 단장한 1.8km의 목재 데크 계단, 버드나무체육시설을 가로지르면 청운공원과 목적지인 창의문에 이르게 된다.","부암동 나들길","생태문화길","강북권","중급"
"35","강북구,도봉구","4.71km","2시간","0","4호선","","","진입로 1 : 해모로아파트 버스 정류장 마을 강북05<br />  - 지하철 4호선 미아삼거리역 2번 출구 맞은편에서 강북05 탑승<br /> 진입로 2 : 도보진입 <br /> ※교통편의 변경이 있을 수 있으니 출발전 확인 바랍니다.   "," 경북문화정보센터~삼각산전망대~생태이동로~단풍숲"," 북서울꿈의 숲은 오래전부터 오동근린공원으로 불리던 곳이다. 오동공원은 오패산(123m)과 벽오산(135m)이라는 두 봉우리로 이루어졌는데 오패산은 예부터 오얏나무가 많이 자라 집집마다 울타리로 삼을 정도였다고 전해지며, 벽오산은 이 곳에 오헌이란 고개이름에서 유래된 것으로, 조선시대 철종임금의 비 철인왕후가 손자 김석진에게 벽오산이란 글씨를 하사하여 붙어진 이름이라고 한다. 이 오동공원과 드림랜드가 합쳐진 ‘북서울꿈의 숲’이란 명칭은 한강의 북쪽지역에 있는 대표공원이라는 의미와 놀이시설이었던 드림랜드가 대형녹지공원으로 재탄생된 역사성을 담고 있다.<br /> ※ 북서울 꿈의숲 홈페이지 : http://dreamforest.seoul.go.kr/index.jsp","북서울꿈의숲 나들길","생태문화길","강북권","중급"
"36","강북구,도봉구","2.01km","1시간","0","1호선,6호선","","","진입로 : 도보진입<br />  - 석계역 지하철 1, 6호선 7번 출구에서 마을버스 성북14탑승 후 북서울꿈의숲 정류장에서 하차"," 월영지~월광폭포~창포원~전망대"," 북서울 꿈의 숲은 오래전부터 오동근린공원으로 불리던 곳이다. 이 오동공원과 드림랜드가 합쳐진 ‘북서울 꿈의 숲’이란 명칭은 한강의 북쪽지역에 있는 대표공원이라는 의미와 놀이시설이었던 드림랜드가 대형녹지공원으로 재탄생된 역사성을 담고 있다.  (‘Free course' 로 자유롭게 다닐 수 있도록 조성)<br /> ※ 북서울 꿈의숲 홈페이지 : http://dreamforest.seoul.go.kr/index.jsp","북서울꿈의숲 산책길","생태문화길","강북권","초급"
"37","종로구","6.96km","2시간30분","0","4호선","","","진입로 1 : 한성대입구역 지하철 4호선 6번 출입구 <br />    진입로 2 : 한신113동앞 버스 정류장 마을버스 성북01<br />    진입로 3 : 구민회관201동앞 버스 정류장 마을버스 성북01<br /> - 한성대입구역 6번 출구 삼선교.성북문화원 버스 정류장에서 성북01탑승<br /> ※교통편의 변경이 있을 수 있으니 출발전 확인 바랍니다.           "," 북악스카이웨이 2교~북악팔각정~다모정~하늘한마당~한성대입구역","성북동 산에 번지가 새로 생기면서 / 본래 살던 성북동 비둘기만이 번지가 없어졌다… 김광섭 시인이 성북동 비둘기를 쓴 것이 지난 1968년. 북악스카이웨이가 개통되던 해이다. 비둘기로 상징되는 자연을 깎아서 만든 길, 북악스카이웨이는 자동차만 달렸을 뿐, 사람이 다닐 수 있는 길은 보안상의 이유로 수십 년간 출입이 금지되었다. 그러던 이 길이 2007년 개방됨으로써 산책 명소가 태어나게 되었다.","북악스카이웨이 나들길","생태문화길","강북권","중급"
"38","성북구,종로구","2.79km","2시간","0","3호선","","","진입로 1 : 한성대입구역 지하철 4호선 5번 출입구<br /> ※교통편의 변경이 있을 수 있으니 출발전 확인 바랍니다.   ","한성대입구역 5번 출입구~호경암~숙정문~말바위 안내소~삼청공원"," 서울의 비무장지대라고 불릴 정도로 잘 보존된 숲 사이로 뻗은 산책로를 통해 42년간 금단의 땅이었던 북악산을 만끽할 수 있는 코스이다.<br /> ※창의문 ? 숙정문 ? 말바위 안내소 입장 시 반드시 신분증을 지참해야 한다. <br />  * 어른 : 주민등록증, 운전면허증, 국가유공자증, 공무원증, 여권, 국제운전면허증<br /> * 미성년자 : 보호자 동반하에 입산 가능<br />  * 문의 : 한국문화재보호재단 02-730-9924 ","북악하늘 나들길","생태문화길","강북권","중급"
"39","강북구,도봉구","6.81km","3시간 30분","0","1호선","","","진입로 1 : 도봉역 지하철 1호선 1번 출입구 <br />  - 지하철 1호선 도봉역 1번 출구 맞은편 하천길을 따라 누원교 앞 버스정류장(북서울중학교)에서 마을버스 도봉08탑승 후 버스정류장(무수골)에서 하차 무수골숲길 방향으로 이동하여 진입할 수 있다 <br /> 진입로 2 : 대원그린아파트.도봉실버센터 버스 정류장 마을버스 도봉07<br /> ※교통편의 변경이 있을 수 있으니 출발전 확인 바랍니다.    "," 방학동길 진입로~매표소~자현암~장수텃밭~장수천~쌍둥이전망대"," 도봉역을 출발해 무수골을 걸어 원통사로 가는 길이다. 아무 근심이 없다는 뜻의 무수골에는 주말농장과 성신여대 생활예절교육관인 ‘난향관’이 있다. 이후 약간의 경사로를 따라 숲길을 걸어가면 도선 국사가 창건했다는 원통사가 오밀조밀한 자태를 뽐낸다. 이후 걷게 되는 방학능선에서는 북한산을 바라보며 걸을 수 있어 풍치가 그만이다.","북한산방학 나들길","생태문화길","강북권","중급"
"40","성북구","2.49km","1시간30분","0","4호선","","","진입로 1 : 도보진입<br />  - 지하철 4호선 길음역 7번 출구 마을버스 성북08, 09탑승 후 대우APT211동앞에서 하차 길음초등학교 뒤쪽으로 이동    "," 서경대뒷길~정릉풍림상가~서경대평생교육원"," 길음초등학교 뒤편에서 시작되는 이 숲길은 서경대학교 뒤편을 지나면 성북생태체험관이 나온다. 생태체험관에서는 요일별로 다양한 생태프로그램을 운영하고 있으며 자연학습체험장이 함께 있다. 북한산 칼바위를 향한 북한산 자락길에 접어들면 울창한 잣나무 숲과 계류, 구릉지의 자연부락과 서울도심을 한눈에 감상할 수 있는 숲길이다.","북한산자락 산책길","생태문화길","강북권","초급"
"41","노원구","9.79km","3시간","0","6호선","","","진입로 1 : 효성화운트빌 버스 정류장(11-133) 지선버스 1132, 1143 <br /> - 지하철 6호선 화랑대역 1번 출구 버스 정류장(11-118)에서 지선버스 1132탑승 가능 <br /> - 또는, 화랑대역 4번 출구에서 원자력병원 맞은편으로 도보이동하여 진입할 수 있다<br /> 진입로 2 : 중계본동종점 버스 정류장(11-409) 지선버스 1131, 1141, 1142, 1143, 1221 <br />    진입로 3 : 도보진입 <br /> ※교통편의 변경이 있을 수 있으니 출발전 확인 바랍니다.            "," 회춘샘 약수터~학도암 마애관음보살 좌상~제명호~삼육대 정문"," 수락산과 나란한 불암산은 등산코스로 이름이 높지만 그 언저리로는 그림 같은 숲 산책로가 뻗었다. 또한 가는 길에 불암산 삼육대 생태경관보전지역에 들러 중부지방의 극상수종인 서어나무를 만날 수 있고, 조선 중종의 계비인 문정왕후(文定王后) 윤씨를 모신 태릉에 들어 역사의 향기를 음미할 수도 있다.","불암산 나들길","생태문화길","강북권","중급"
"42","마포구","4.62km","2시간","0","6호선,경의선,공항철도","","","진입로 1 : 디지털미디어시티역 지하철 경의선, 공항철도, 6호선 2번 출구 <br />    진입로 2 : 월드컵경기장역 지하철 6호선 3번 출구 <br /> ※교통편의 변경이 있을 수 있으니 출발전 확인 바랍니다.    "," 상암DMC~상암근린공원~매봉산근린공원"," 이길은 자연과 인간이 함께 하는 길이다. 봄 개나리부터 가을 구절초까지 계절별로 꽃을 피우는 불광천을 지나 월드컵경기장 앞에 서면 규모에 한번, 응원함성 소리에 한번, 두 번 놀라게 된다. 경기장 뒤 매봉산 내 풀무골에서 지명의 유래와 복원된 대장간을 보고 인근 조망점에서 조망겸 잠시 쉬었다가 상암근린공원(상암산)으로 가게 된다. 상암근린공원에는 근래 서울시 보호종인 두꺼비의 이동이 관찰되고 있으며 5월말?6월초 흐린날 운좋으면 두꺼비가 상암산으로 이동하는 모습도 볼 수 있다. 젊음이 어우러진, 발전하는 마포의 모습을 상징적으로 보여주는 상암DMC에서 각기 개성을 뽐내고 있는 특색있는 건축물과 분주히 오가는 사람들의 모습에서 발전하는 대한민국의 모습도 발견할 수 있으며, 목이 마르면 길 중간중간에 위치한 카페(향기카페, 허브북카페)에 들러 차한잔 마시는 즐거움도 누릴수 있는, 또다시 가보고 싶은 재미있는 길이다.","상암산 DMC 체험나들길","생태문화길","강북권","중급"
"43","서초구","3.31km","1시간 30분","0","2호선,3호선,7호선,9호선","","","진입로1 : 고속터미널역 지하철 3, 7, 9호선 5번 출구(또는 3번 출구로 나와 육교를 건너면 서리골 공원으로 바로 진입가능) <br />    진입로2 : 방배역 지하철 2호선 4번 출구 <br />    진입로3 : 도보접근 <br /> ※교통편의 변경이 있을 수 있으니 출발전 확인 바랍니다.            "," 서리골공원~몽마르뜨공원~서리풀공원"," 고층아파트가 스카이라인을 이룬 이곳에 어찌 이리 아름다운 숲길을 허락했을까. 걷는 이들마다 의아해하고, 신기해하고, 끝내는 감사해하는 숲길이다. 이 숲길을 품은 산줄기는 원래 하나였으나 차도가 금을 그으며 생이별을 하고 말았다. 얼마 전까지도 찻길을 건너야만 숲길을 이어갈 수 있었으나 2009년 말 서리골공원과 몽마르뜨공원이 누에다리로 이어지고, 그와 동시에 몽마르뜨공원이 서리풀공원과 서리풀다리로 이어지며 다시 하나의 식구가 됐다.<br />※도심 숲길을 따라 가족과 함께 청명한 가을 하늘을 보며 가볍게 걷기 좋은 길이다.","서리골 서리풀 나들길","생태문화길","강남권","초급"
"44","양천구","0.96km","30분","0","","","","진입로 1 : 서서울호수공원 버스 정류장(15-338) 간선버스 651,652,653,662, 지선버스 6625,6627 <br /> - 지하철 5호선 화곡역 7번 출구 화곡전철역 버스 정류장(16-148)에서 간선버스 652, 653 지선버스 6627탑승 가능 <br /> 진입로 2 : 도보접근 <br /> ※교통편의 변경이 있을 수 있으니 출발전 확인 바랍니다.     "," 서서울 호수공원"," 옛 신월정수장 자리에 꾸며진 서서울공원은 비행기가 지날 때마다 물이 솟구치는 소리분수와 화가 몬드리안의 구성기법을 도입한 몬드리안 정원이 있다.","서서울호수공원 산책길","생태문화길","강남권","초급"
"45","은평구","4.39km","2시간","0","6호선","","","진입로 1 : 시계입구가게앞검문소 버스 정류장(19-442) 간선버스 702A서오릉, 702B용두초교, 광역버스 9701(서오릉 입구 버스 정류장(19-547)에서 바로 진입할 수 있다) <br /> - 지하철 6호선 응암역 2번 출구로 나와 반대방향 우측으로 약 40m 이동 응암역신사오거리 버스 정류장(12-130)에서 702번 탑승 가능 <br /> - 지하철 6호선 구산역 4번 출구로 나와 반대방향 우측으로 약 250m 이동 역촌중앙시장 버스 정류장(12-141)에서 광역버스 9701번 탑승 가능 <br />  진입로 2 : 구산역 지하철 6호선 3번 출입구  <br /> ※교통편의 변경이 있을 수 있으니 출발전 확인 바랍니다."," 수경원~익릉~창릉~홍릉~경릉~순창원"," 서오릉은 사적 제198호로 5릉은 경릉(敬陵)?창릉(昌陵)?익릉(翼陵)?명릉(明陵)?홍릉(弘陵)을 일컫는다. 1457년(세조 3) 세자 장(璋：뒤에 덕종으로 추존됨)이 죽자 이곳에 안장(경릉)한 이래 1470년(성종 1) 덕종의 아우인 예종과 그 계비인 안순왕후 한씨의 창릉, 1681년(숙종 7) 숙종의 비인 인경왕후 김씨의 익릉, 1721년(경종 1) 숙종과 그 계비인 인현왕후 민씨와 제2계비인 인원왕후 김씨의 명릉, 1757년(영조 33) 영조의 비인 정성왕후 서씨의 홍릉이 들어서 능의 무리를 이루었다. 그밖에 이곳에는 명종의 큰아들인 순회세자의 순창원(順昌園)이 경내에 있으며, 1970년에 숙종의 후궁인 희빈 장씨의 대빈묘(大嬪墓)가 이곳으로 이장되었다.<br />  <font color='red'>※휴관일(월요일), 관람요금, 관람시간, 매표시간 등을 문화재청 서오릉 홈페이지에서 확인하실 수 있습니다.</font><br />   ※홈페이지 : http://goyang.cha.go.kr<br /> ※문의전화 : 02-359-0090","서오릉 나들길","생태문화길","강북권","중급"
"46","광진구,성동구","5.22km","2시간","0","2호선,분당선","","","진입로 1 : 서울숲역 지하철 분당선 3번 출구(또는 뚝섬역 지하철 2호선 8번 출구로 나와 서울숲으로 이동) <br />    진입로 2 : 도보진입 <br /> ※교통편의 변경이 있을 수 있으니 출발전 확인 바랍니다.    "," 숲속길~뚝섬가족마당~거울연못~바람의 언덕"," 5개의 테마공원을 갖추고 서울시민들의 웰빙 쉼터로 시민들이 가꾼 자연의 숲.    `Free course` 로 자유롭게 다닐 수 있도록 조성한 코스이다.","서울숲 공원 산책길","생태문화길","강북권","초급"
"47","광진구,성동구","8.82km","3시간30분","0","2호선,분당선","","","진입로 1 : 뚝섬역 지하철 2호선 8번 출입구 <br />    진입로 2 : 서울숲역 지하철 분당선 3번 출입구 <br /> ※교통편의 변경이 있을 수 있으니 출발전 확인 바랍니다.    "," 용비교~응봉공원~독서당공원~금호산~매봉산~서울성곽길"," 서울숲에서 시작하여 응봉공원, 금호산, 매봉산을 거쳐 남산에 이르는 코스이다. 2010년 성동구에서 조성한 산책로로서 곳곳에 안내판이 설치되어 있어 헤메지 않고 쉽게 찾아갈 수 있다. 서울숲은 115만㎡에 5개의 테마공원과 다양한 볼거리를 갖추고 내방객을 기다린다. 응봉공원 전망대에서는 서울숲과 함께 한강 일대가 조망되어 야경 촬영지로도 명성이 높다. <BR /> ","서울숲 남산 나들길","생태문화길","강북권","중급"
"48","송파구","4.17km","1시간","0","2호선,8호선","","","진입로 1 : 잠실역 지하철 2, 8호선 2번 출입구 <br /> 진입로 2 : 잠실역 지하철 2, 8호선 3번 출입구 <br /> 진입로 3 : 석촌역 지하철 8호선 7번 출입구 <br /> ※교통편의 변경이 있을 수 있으니 출발전 확인 바랍니다."," 석촌호수길~석촌동백제초기적성총~방이동백제고분군 "," 석촌호수는 자연과 인간이 힘을 합해 만든 인공호수이다. 원래는 한강의 일부분이었으나, 세월이 흐르면서 샛강이 생겼고 그 후 한강 본류 정비 사업으로 샛강이 매립되면서 인공호수가 생겨나게 되었다. 송파대로 개통으로 둘로 나눠진 이 쌍둥이 호수를 자연친화적 환경으로 정비한 것이 오늘의 석촌호수다. 호수와 인접하여 유명 놀이공원이 만들어져 있어 여러모로 볼거리와 즐길거리가 많다. ","석촌호수 산책길","생태문화길","강남권","초급"
"49","강남구","4.15km","2시간","0","2호선,분당선","","","진입로 1 :  삼성역 지하철 2호선 6번 출구 <br />    진입로 2 :  선릉역 지하철 분당선, 2호선 8번 출구 <br /> ※교통편의 변경이 있을 수 있으니 출발전 확인 바랍니다."," 대웅전~미륵대불~선릉외각길~매표소~정릉~전현왕후릉~선릉"," 2009년 6월에 유네스코 세계문화유산으로 등재된 조선 왕릉의 하나인 선정릉을 거쳐 전통사찰인 봉은사를 지나는 코스이다. 조선 제 9대 왕인 성종과 계비 정현왕후의 능인 선릉과 함께 조선 11대 왕인 중종의 능이 모셔진 곳으로 이 두 능침 사이로 나 있는 야트막한 언덕으로 걷기 좋은 산책로가 세 가닥이나 뻗었다. 봉은사 역시 볼만한 전각들이 많으며, 특히 미륵대불은 언제나 소원을 빌러 오는 신자들로 붐빈다. <br /> <font color='red'>※휴관일(월요일), 관람요금, 관람시간, 매표시간 등을 문화재청 정릉 홈페이지에서 확인하실 수 있습니다.</font><br />   ※홈페이지 : http://seonjeong.cha.go.kr<br /> ※문의전화 : 02-568-1291   ","선정릉나들길","생태문화길","강남권","중급"
"50","광진구,성동구","2.93㎞","1시간30분","0","2호선,5호선,7호선","","","출 발 지 : 군자역 지하철 5호선, 7호선 8번 출입구 <br />    도 착 지 : 한양대역 지하철 2호선 3번 출구 <br /> ※교통편의 변경이 있을 수 있으니 출발전 확인 바랍니다.   "," 아차산역~어린이대공원~송정동 둑길~살곶이다리~응봉역","무료로 개방되는 어린이대공원을 후문으로 들어가 한 바퀴 돈 후 정문으로 나가게 된다. 이름 그대로 아이들과 함께 가도 아주 좋을만한 코스이다. 이후 군자교 부근에서 시작되는 송정동 둑길을 지난다. 옆으로 동부간선도로를 달리는 자동차 소리가 들리기는 하지만 높이 솟은 가로수들이 시원한 그늘을 드리우고 있어 한여름에도 걷기가 나쁘지 않다. 또한 중반 무렵 화장실 왼쪽으로 시작되는 은행나무길은 울창한 숲 속에 들어와 있는 착각마저 불러일으킨다. 이후 조선시대에 가장 긴 다리였다는 살곶이다리를 건너 중랑천길을 잠시 걸어 응봉역으로 진입한다. ","성동 송정둑길","생태문화길","강북권","초급"
"51","성북구","4.16km","2시간","0","4호선","","","진입로 1 : 한성대입구역 지하철 4호선 5번 출입구 <br /> ※교통편의 변경이 있을 수 있으니 출발전 확인 바랍니다.   "," 길상사~심우장~수연산방"," 600년 도성의 성곽을 사이에 두고 오랜 세월을 견디어낸 성북동 고택과 북촌한옥마을의 고색창연한 길이다. 이 조선 역사의 길에는 법정 스님의 맑은 향이 영원히 가시지 않을 것 같은 길상사를 비롯해 만해 한용운 선생이 말년을 보낸 심우장, 시민기금으로 매입하여 보존하고 있는 최순우 옛집 등이 지나는 나그네들을 따스한 손길로 맞아들인다. 지금의 서울을 그윽하게 조망하게 하여 온고지신의 의미를 되새기는 시간을 만든다. <br /> ※옛 보물지도를 따라 걷는듯한 길이다. 성북동의 소박한 옛길은 걷는 이들에게 따스함과 맑고 향기로움을 온 몸 가득 느낄 수 있게 해주는 괜찮은 가을 소풍코스이다.","성북동고택북촌산책길","생태문화길","강북권","중급"
"52","송파구","30.21km","8시간","0","2호선,5호선,8호선","","","진입로 1 : 잠실역 지하철 2호선, 8호선 3번 출구 <br /> 진입로 2 : 잠실나루역 지하철 2호선 1번 출구 <br />      진입로 3 : 올림픽공원남2문 버스 정류장(24-240) 일반 30, 30-5, 지선버스 3412, 3413 <br />      진입로 4 : 올림픽공원역 지하철 5호선 1번 출구 <br />      진입로 5 : 도보진입  <br /> ※교통편의 변경이 있을 수 있으니 출발전 확인 바랍니다.","석촌호수길~한성백제박물관~몽촌토성~양재천 산책로","석촌호수를 출발하여 송파구를 흐르는 한강~탄천 등 송파구를 걷는 장거리 코스이다. 송파소리길을 안내하는 홈페이지가 있고, 매년 걷기 행사 등이 열려 주민들의 많은 참여가 이루어지는 코스이다.<br />       ※ 홈페이지 : http://sorigil.songpa.go.kr","송파소리길","생태문화길","강남권","고급"
"53","노원구","7.39km","4시간30분","0","7호선","","","진입로 1 : 수락산역 지하철 7호선 3번 출입구 <br />    진입로 2 : 수락산 입구 교차로  <br />  ※교통편의 변경이 있을 수 있으니 출발전 확인 바랍니다.   "," 암불사~도솔봉~수락산정상"," 수락산은 해발 637m로 남쪽으로 불암산과 연결되어 노원구 상계동과 의정부시, 남양주시의 경계를 이루고 있다. 수락산 능선상에 있는 암봉들은 서울을 향해서 고개를 숙이고 있는 형국으로 태조 이성계는 서울의 수호산이라고 하였다. 수락산의 명칭은 내원암 일대 계곡에 바위가 벽을 이루고 있어 물이 굴러 떨어지므로 수락이라고 하였다는 설과 골짜기 물이 맑아 금류, 은류, 옥류라는 폭포를 이루어 떨어지는 자태에 이름이 붙여졌다는 전설도 있다. 대부분 돌산으로 화강암의 암벽이 노출되어 있지만 산세는 험하지 않으며 수각계곡과 노원골 일대 1km 산책로는 삼림욕을 하기에 아주 놓은 곳이다. 주말이면 도심에서 몰려온 산악인들로 항상 붐비는 산이며 북한산, 도봉산, 관악산과 함께 서울 근교의 4대 명산으로 불린다.<br />    ※ 2012년‘G마켓, 생명의숲과 함께하는 아름다운 숲길 가꾸기’사업 대상 노선으로 노선 전체에 초록숲길 안내표지판 설치 ","수락산 나들길(초록숲길)","생태문화길","강북권","고급"
"54","서대문구","6.14km","2시간30분","0","2호선,6호선","","","진입로 1 : 대흥역 지하철 6호선 1번 출입구 <br />    진입로 2 : 신촌역 지하철 2호선 3번 출입구 <br /> ※교통편의 변경이 있을 수 있으니 출발전 확인 바랍니다. ","서강대정문~노고산~이대정문~연세대동문","신촌은 대학촌이다. 대학은 학문의 광장이지만 넓고 활기찬 캠퍼스는 도시민들의 공원역할도 마다 않는다. 상록의 물결이 가득한 신촌의 3개 대학, 서강대-이화여대-연세대캠퍼스 산책로를 연결하면 색다른 걷기 코스가 된다. 세 대학은 각기 다른 개성과 분위기를 풍겨 걷는 재미 또한 독특하다. 차분한 서강대에서 활기 넘치는 이화여대로, 그리고 호젓한 연세대의 숲길을 걸어 신촌으로 돌아 나오는 코스는 가족 나들이나 연인들의 데이트 코스로도 안성맞춤이다.","신촌대학탐방 나들길","생태문화길","강북권","중급"
"55","강북구,도봉구","5.21km","2시간 30분","0","1호선,4호선","","","진입로 1 : 신한은행방학동지점 버스 정류장(10-194) 간선버스 130 지선버스 1119, 1144, 1161 <br /> - 지하철 1, 4호선 창동역 1번 출구 창동역동측도보방면 버스 정류장(10-266)에서 지선버스 1161번 탑승 가능 <br />   진입로 2 : 도봉구민회관 버스 정류장(10-013) 일반 36, 133, 37, 118, 74, 72 간선버스 101, 106, 107, 130, 140, 141, 142, 150, 160, 108 <br /> ※교통편의 변경이 있을 수 있으니 출발전 확인 바랍니다.   "," 발바닥공원~정자쉼터~쌍문근린공원~벚나무길"," 쌍문 역사 탐방길은 지나는 발자국 곳곳에 과거 우리의 역사와 문화를 떠올리게 만드는 공간이다. 1960년 형성된 판자촌에 조성한 발바닥 공원, 그리고 연산군과 정의공주의 묘, 원당샘과 천년 은행나무 등 곳곳에 숨어있는 우리의 역사와 문화를 체험할 수 있다. <br /> ※ 2013년‘G마켓, 생명의숲과 함께하는 초록숲길 만들기’사업 대상 노선으로 노선 전체에 초록숲길 안내표지판 설치  ","쌍문역사 산책길(초록숲길)","생태문화길","강북권","중급"
"56","광진구,성동구","2.78km","3시간","0","5호선","","","진입로 1 : 도보진입(동의초등학교) <br /> - 아차산역 지하철 5호선 2번 출구에서 도보로 이동(약 1km)하여 동의초등학교로 갈 수 있다<br /> ※교통편의 변경이 있을 수 있으니 출발전 확인 바랍니다.   "," 만남의 광장~소나무림~아차산성~아차산성 유원지~오동나무 자생지"," 서울 한강 북쪽의 아차산은 아끼산 아계산으로도 불린다. 고구려 장군 온달이 신라군과 싸우다 전사했다는 이야기도 전해 내려오며 능선에서는 한강 유역을 한 눈에 내려다 볼 수 있어 예전부터 군사적 요충지로 손꼽힌다. <br />※가을이면 아차산 능선에서 보이는 한강 둔치에 코스모스 물결이 장관이다. 또한 산은 낮아도 주변 일대가 평지라 정상에서 보이는 한강과 어우러진 도심의 야경은 탄성을 자아내기에 충분하다. ","아차산 숲 나들길","생태문화길","강북권","고급"
"57","서대문구","2.23km","3시간","0","3호선","","","진입로 1 : 서대문구청 서대문보건소 버스 정류장(13-156) 간선버스 110A,153 지선버스 7017,7713,7720,7738,8774 <br /> ※서대문구청 뒤편으로 이동하여 진입할 수 있다<br /> - 지하철 3호선 홍제역 3번 출구 홍제역 버스 정류장(13-125)에서 지선버스 7713, 7738탑승 가능<br />   진입로 2 : 무악재역 지하철 3호선 3번 출입구  <br /> ※교통편의 변경이 있을 수 있으니 출발전 확인 바랍니다. <br />   "," 메타세콰이어 숲~방크스소나무 숲~단풍나무길~벚나무 길~무학정"," 안산은 해발 296m로 동봉과 서봉의 두 봉우리로 이루어져, 산의 모양이 마치 말의 안장 즉 길마와 같이 생겨 붙여진 이름으로, 인왕산에서 서쪽으로 비스듬히 뻗어 무악재를 이루고 있는 산이다.<br />  ※2014년 ‘G마켓, 생명의숲이 함께하는 초록숲길 만들기'사업 대상으로 노선 전체에 초록숲길 안내표지판 설치 ","안산숲 나들길(초록숲길)","생태문화길","강북권","초급"
"58","광진구,성동구","1.89km","2시간","0","5호선,7호선","","","진입로 1 : 아차산역 지하철 5호선 4번 출입구 <br />    진입로 2 : 어린이대공원역 지하철 7호선 6번 출입구 <br /> ※교통편의 변경이 있을 수 있으니 출발전 확인 바랍니다.   "," 모험의 나라 놀이터~음악분수~전래동화마을~물놀이장"," 53만여㎡의 넓은 공간속에 동물원, 식물원, 놀이동산 및 다양한 공연시설과 체험공간이 가득한 어린이 가족테마공원이다.    (`Free course` 로 자유롭게 다닐 수 있도록 조성)","어린이대공원 산책길","생태문화길","강북권","초급"
"59","영등포구","2.82km","1시간30분","0","5호선,9호선","","","진입로 1 : 국회의사당역 지하철 9호선 3번 출구 <br />    진입로 2 : 여의도역 지하철 5, 9호선 3번 출구 <br /> ※교통편의 변경이 있을 수 있으니 출발전 확인 바랍니다.   "," 여의도공원 역~ 여의도공원 광장 여의도샛강생태공원","친수공간으로 연출된 생태공원과 옛 여의도광장과 여의도공원은 지하철, 버스 등 대중교통으로 접근성이 좋아 직장인과 일반시민들이 즐겨 찾는 명소이자 봄꽃축제, 세계불꽃축제, 각종 공연 및 마라톤행사 등 다양한 행사가 이어져 볼거리와 즐길거리가 풍부한 휴식공간입니다.    (`Free course` 로 자유롭게 다닐 수 있도록 조성)","여의도공원 산책길","생태문화길","강남권","초급"
"60","영등포구","3.84km","1시간30분","0","2호선,7호선","","","진입로 1 : 도림천역 지하철 2호선 2번 출구 <br />    진입로 2 : 신풍역 지하철 7호선 2번 출구 <br /> ※교통편의 변경이 있을 수 있으니 출발전 확인 바랍니다.   "," 도림천역~신도림역~신길공원~신길동 넝쿨장미길~신풍역"," 신풍역 주변 신길6동 벚꽃길에서 시작하는 이 길은 주민들이 직접 헌수하여 조성한 왕벚나무, 넝쿨장미길을 지나 대방천 수림대(가로녹지)로 연결되는 도심 내 건강 산책길이다. 신길6동 벚꽃길과 신길동 넝쿨장미길을 지나 꽃섬길 마을마당(신길광장공원), 대방천 가로녹지대, 도림천으로 연결되는 코스는 지역축제 개최 및 다양한 경관이 펼쳐지며, 휴게시설 및 야외 체육시설이 설치되어 있어 휴식과 운동을 병행하는 재미를 안긴다.","영등포 봄꽃 나들길","생태문화길","강남권","초급"
"61","성북구","2.02km","1시간","0","6호선","","","진입로 1 : 상월곡역 지하철 6호선 1번 출입구 <br /> - 1번 출구 반대방향으로 우남아파트와 월곡중학교 사이길을 통해 월곡초등학교쪽으로 이동하여 오동공원 진입<br />   진입로 2 : 도보진입 <br /> ※교통편의 변경이 있을 수 있으니 출발전 확인 바랍니다.   ","오동공원"," 1987년 4월 27일 시민근린공원으로 지정되었다. 서울 강북구 번동?미아동 등의 5개 동과 성북구 월곡동에 걸쳐 있는 대단위공원으로 면적이 138만 2,260㎡에 이른다. 공원에 오르면 북한산?도봉산?수락산?불암산이 병풍처럼 둘러쳐 있고 배드민턴장?운동장?체력단련시설?산책로?잔디밭 등과 함께 울창한 숲이 조성되어 있다. 특히 ‘꽃샘길’로 불리는 길이 400m 구간은 한 시민이 정성을 다해 꽃과 나무를 가꾸는 것으로 유명하다. 공원 산자락에는 북서울 꿈의 숲이 조성되어 있다. ","오동공원 산책길","생태문화길","강북권","초급"
